street,suburb,government_area,market,country,country_code,location.type,location.coordinates,location.is_location_exact,airbnb_id
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,"[-8.61308, 41.1413]",False,10006546
"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,Point,"[-43.23074991429229, -22.966253551739655]",True,10009999
"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,Point,"[-157.83919, 21.28634]",True,1001265
"Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,Point,"[-73.93615, 40.69791]",True,10021707
"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,Point,"[-43.205047082633435, -22.971950988341874]",True,10030955
"New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,Point,"[-73.96523, 40.79962]",False,1003530
"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,"[-43.190849194463404, -22.984339360067814]",False,10038496
"Kadıköy, İstanbul, Turkey",Moda,Kadikoy,Istanbul,Turkey,TR,Point,"[29.03133, 40.98585]",True,10047964
"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,Rio De Janeiro,Brazil,BR,Point,"[-43.18015675229857, -22.92638234778768]",True,10051164
"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,"[-73.59111, 45.51889]",True,10057447
"Brooklyn, NY, United States",Greenpoint,Greenpoint,New York,United States,US,Point,"[-73.94472, 40.72778]",True,10057826
"Montréal, Québec, Canada",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,"[-73.54949, 45.54548]",False,10059244
"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,"[114.15027, 22.28158]",True,10059872
"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,"[-73.57383, 45.52233]",True,10066928
"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,Point,"[-43.4311123147628, -23.00035792660916]",False,10069642
"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,"[114.17158, 22.30469]",True,10082307
"Barcelona, Catalunya, Spain",Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,"[2.16942, 41.40082]",True,10082422
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,"[-8.61123, 41.15225]",False,10083468
"Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,Point,"[114.1669, 22.3314]",True,10084023
"Surry Hills, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,Point,"[151.21554, -33.88029]",True,10091713
"Beyoğlu, İstanbul, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,"[28.95825, 41.03777]",False,10092679
"New York, NY, United States",Manhattan,Chelsea,New York,United States,US,Point,"[-74.00074, 40.74577]",True,10096773
"Darlinghurst, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,Point,"[151.21346, -33.87603]",False,10108388
"Rozelle, NSW, Australia",Lilyfield/Rozelle,Leichhardt,Sydney,Australia,AU,Point,"[151.17956, -33.86296]",True,10109896
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,"[-8.60867, 41.1543]",False,10112159
"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,Point,"[28.98713, 41.04841]",False,10115921
"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,Point,"[28.98818, 41.04772]",False,10116256
"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,Point,"[-43.1825954762751, -22.930541460367934]",False,10116578
"Vila do Conde, Porto, Portugal",,Vila do Conde,Porto,Portugal,PT,Point,"[-8.75383, 41.3596]",False,10117617
