availability_30,availability_60,availability_90,availability_365,airbnb_id
28,47,74,239,10006546
0,0,0,0,10009999
16,46,76,343,1001265
0,0,0,0,10021707
28,58,88,363,10030955
0,0,0,93,1003530
7,19,33,118,10038496
27,57,87,362,10047964
10,10,21,296,10051164
0,0,0,0,10057447
30,31,31,243,10057826
0,0,0,32,10059244
0,0,0,0,10059872
0,0,0,0,10066928
0,0,0,0,10069642
30,60,90,365,10082307
0,0,0,0,10082422
16,40,67,335,10083468
14,24,40,220,10084023
0,0,0,0,10091713
3,19,37,37,10092679
0,0,0,0,10096773
5,16,35,265,10108388
0,0,0,0,10109896
30,60,87,359,10112159
30,60,90,365,10115921
30,60,90,365,10116256
30,60,90,365,10116578
0,0,0,46,10117617
0,0,0,0,10120414
0,0,0,0,10133350
30,60,90,365,10133554
30,60,90,365,10138784
20,29,29,34,10140368
0,0,0,0,10141950
0,0,0,0,10166883
0,0,0,0,10166986
0,0,19,20,1016739
30,60,90,365,10184012
30,60,90,365,10186755
0,0,0,0,1019168
30,60,90,365,10199760
24,54,84,174,10201975
0,0,0,0,10209136
0,0,25,26,10213499
20,50,80,135,10215858
0,0,0,0,10220130
0,13,43,196,1022200
30,60,90,365,10227000
28,58,88,178,10228731
30,60,90,145,10233856
18,41,67,339,10240767
11,41,71,247,10264100
0,3,16,246,10266175
18,40,70,345,10267144
13,43,62,278,10269320
20,45,75,165,10280433
0,0,0,0,10295352
0,0,0,0,10299095
0,3,5,5,102995
28,58,88,363,10306879
28,58,88,363,103161
10,17,26,229,10317142
22,52,82,357,10324377
0,0,0,0,10332161
20,50,80,170,10343118
30,60,90,365,10354347
0,0,0,0,10359729
0,10,15,264,1036027
0,11,41,316,10373872
17,36,55,317,1038163
28,58,88,347,10381879
30,60,90,365,10383490
12,27,53,321,10392282
3,18,41,316,10411341
24,45,60,309,10415637
0,0,0,0,10416859
0,0,0,0,10423504
5,26,35,228,1042446
0,0,0,0,10431455
0,0,0,27,10448594
30,60,90,365,10449328
0,3,3,3,10458796
